Age,Attrition,DailyRate,DistanceFromHome,EmployeeNumber,HourlyRate,JobLevel,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Education_College,Education_Bachelor,Education_Master,Education_Doctor,EnvironmentSatisfaction_Medium,EnvironmentSatisfaction_High,EnvironmentSatisfaction_Very High,JobInvolvement_Medium,JobInvolvement_High,JobInvolvement_Very High,JobSatisfaction_Medium,JobSatisfaction_High,JobSatisfaction_Very High,PerformanceRating_Good,PerformanceRating_Excellent,PerformanceRating_Outstanding,RelationshipSatisfaction_Medium,RelationshipSatisfaction_High,RelationshipSatisfaction_Very High,WorkLifeBalance_Good,WorkLifeBalance_Better,WorkLifeBalance_Best
35,0,809,16,14,84,1,2426,16479,0,0,13,1,6,5,5,4,0,3,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
29,0,153,15,15,49,2,4193,12682,0,1,12,0,10,3,9,5,0,8,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
31,0,670,26,16,31,1,2911,15170,1,0,17,1,5,1,5,2,4,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
34,0,1346,19,18,93,1,2661,8758,0,0,11,1,3,2,2,2,1,2,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
28,1,103,24,19,50,1,2028,12947,5,1,14,0,6,4,4,2,0,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
29,0,1389,21,20,51,3,9980,10195,1,0,11,1,10,1,10,9,8,8,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
32,0,334,5,21,80,1,3298,15053,0,1,12,2,7,5,6,2,0,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0
22,0,1123,16,22,96,1,2935,7324,1,1,13,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0
53,0,1219,2,23,78,4,15427,22021,2,0,16,0,31,3,25,8,3,7,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
38,0,371,2,24,45,1,3944,4306,5,1,11,0,6,3,3,2,1,2,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
24,0,673,11,26,96,2,4011,8232,0,0,18,1,5,5,4,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
36,1,1218,9,27,82,1,3407,6986,7,0,23,0,10,4,5,3,0,3,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
34,0,419,7,28,53,3,11994,21293,0,0,11,0,13,4,12,6,2,11,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
21,0,391,15,30,96,1,1232,19281,1,0,14,0,0,6,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
34,1,699,6,31,83,1,2960,17102,2,0,11,0,8,2,4,2,1,3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
53,0,1282,5,32,58,5,19094,10735,4,0,11,1,26,3,14,13,4,8,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0
32,1,1125,16,33,72,1,3919,4681,1,1,22,0,10,5,10,2,6,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
42,0,691,8,35,48,2,6825,21173,0,0,11,1,10,2,9,7,4,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
44,0,477,7,36,42,3,10248,2094,3,0,14,1,24,4,22,6,5,17,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
46,0,705,2,38,83,5,18947,22822,3,0,12,0,22,2,2,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
33,0,924,2,39,78,1,2496,6670,4,0,11,0,7,3,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
44,0,1459,10,40,41,2,6465,19121,2,1,13,0,9,5,4,2,1,3,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
30,0,125,9,41,83,1,2206,16117,1,0,13,0,10,5,10,0,1,8,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
39,1,895,5,42,56,2,2086,3335,3,0,14,1,19,6,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1
24,1,813,1,45,61,1,2293,3020,2,1,16,1,6,2,2,0,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
43,0,1273,2,46,72,1,2645,21923,1,0,12,2,6,3,5,3,1,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0
50,1,869,3,47,86,1,2683,3810,1,1,14,0,3,2,3,2,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
35,0,890,2,49,97,1,2014,9687,1,0,13,0,2,3,2,2,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
36,0,852,5,51,82,1,3419,13072,9,1,14,1,6,3,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
33,0,1141,1,52,42,2,5376,3193,2,0,19,2,10,3,5,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
35,0,464,4,53,75,1,1951,10910,1,0,12,1,1,3,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
27,0,1240,2,54,33,1,2341,19715,1,0,13,1,1,6,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
26,1,1357,25,55,48,1,2293,10558,1,0,12,0,1,2,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
27,0,994,8,56,37,3,8726,2975,1,0,15,0,9,0,9,8,1,7,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
30,0,721,1,57,58,2,4011,10781,1,0,23,0,12,2,12,8,3,7,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
41,1,1360,12,58,49,5,19545,16280,1,0,12,0,23,0,22,15,15,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
34,0,1065,23,60,72,2,4568,10034,0,0,20,0,10,2,9,5,8,7,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
37,0,408,19,61,73,1,3022,10227,4,0,21,0,8,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
46,0,1211,5,62,98,2,5772,20445,4,1,21,0,14,4,9,6,0,8,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
35,0,1229,8,63,36,1,2269,4892,1,0,19,0,1,2,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
48,1,626,1,64,98,3,5381,19294,9,1,13,0,23,2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
28,1,1434,5,65,50,1,3441,11179,1,1,13,0,2,3,2,2,2,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
44,0,1488,1,68,75,2,5454,4009,5,1,21,1,9,2,4,3,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
35,0,1097,11,70,79,3,9884,8302,2,1,13,1,10,3,4,0,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
26,0,1443,23,72,47,2,4157,21436,7,1,19,1,5,2,2,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
33,0,515,1,73,98,3,13458,15146,1,1,12,0,15,1,15,14,8,12,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
35,0,853,18,74,71,3,9069,11031,1,0,22,1,9,3,9,8,1,8,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
35,0,1142,23,75,30,1,4014,16002,3,1,15,1,4,3,2,2,2,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
31,0,655,7,76,48,2,5915,9528,3,0,22,1,10,3,7,7,1,7,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
37,0,1115,1,77,51,2,5993,2689,1,0,18,1,7,2,7,5,0,7,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1
32,0,427,1,78,33,2,6162,10877,1,1,22,1,9,3,9,8,7,8,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
38,0,653,29,79,50,2,2406,5456,1,0,11,0,10,2,10,3,9,9,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
50,0,989,7,80,43,5,18740,16701,5,1,12,1,29,2,27,3,13,8,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
59,0,1435,25,81,99,3,7637,2354,7,0,11,0,28,3,21,16,7,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
36,0,1223,8,83,59,3,10096,8202,1,0,13,3,17,2,17,14,12,8,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
55,0,836,8,84,33,4,14756,19730,2,1,14,3,21,2,5,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
36,0,1195,11,85,95,2,6499,22656,1,0,13,0,6,3,6,5,0,3,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
45,0,1339,7,86,59,3,9724,18787,2,0,17,1,25,2,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
35,0,664,1,88,79,1,2194,5868,4,0,13,1,5,2,3,2,1,2,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
36,1,318,9,90,79,1,3388,21777,0,1,17,1,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
59,0,1225,1,91,57,2,5473,24668,7,0,11,0,20,2,4,3,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0
29,0,1328,2,94,76,1,2703,4956,0,0,23,1,6,3,5,4,0,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
31,0,1082,1,95,87,1,2501,18775,1,0,17,0,1,4,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
32,0,548,1,96,66,2,6220,7346,1,0,17,2,10,3,10,4,0,9,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0
36,0,132,6,97,55,1,3038,22002,3,0,12,0,5,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0
31,0,746,8,98,61,2,4424,20682,1,0,23,0,11,2,11,7,1,8,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
35,0,776,1,100,32,2,4312,23016,0,0,14,0,16,2,15,13,2,8,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
45,0,193,6,101,52,3,13245,15067,4,1,14,0,17,3,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
37,0,397,7,102,30,3,13664,25258,4,0,13,0,16,3,5,2,0,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
46,0,945,5,103,80,2,5021,10425,8,1,22,1,16,2,4,2,0,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0
30,0,852,1,104,55,2,5126,15998,1,1,12,2,10,1,10,8,3,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0
35,0,1214,1,105,30,1,2859,26278,1,0,18,0,6,3,6,4,0,4,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
55,0,111,1,106,70,3,10239,18092,3,0,14,1,24,4,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
38,0,573,6,107,79,2,5329,15717,7,1,12,3,17,3,13,11,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
34,0,1153,1,110,94,2,4325,17736,1,0,15,0,5,2,5,2,1,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
56,0,1400,7,112,49,3,7260,21698,4,0,11,0,37,3,6,4,0,2,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
23,0,541,2,113,62,1,2322,9518,3,0,13,1,3,3,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
51,0,432,9,116,96,1,2075,18725,3,0,23,2,10,4,4,2,0,3,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0
30,0,288,2,117,99,2,4152,15830,1,0,19,3,11,3,11,10,10,8,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
46,1,669,9,118,64,3,9619,13596,1,0,16,0,9,3,9,8,4,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
40,0,530,1,119,78,4,13503,14115,1,0,22,1,22,3,22,3,11,11,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
51,0,632,21,120,71,2,5441,8423,0,1,22,0,11,2,10,7,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
30,0,1334,4,121,63,2,5209,19760,1,1,12,3,11,4,11,8,2,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0
46,0,638,1,124,40,3,10673,3142,2,1,13,1,21,5,10,9,9,5,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
32,0,1093,6,125,87,2,5010,24301,1,0,16,0,12,0,11,8,5,7,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
54,0,1217,2,126,60,3,13549,24001,9,0,12,1,16,5,4,3,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
24,0,1353,3,128,33,2,4999,17519,0,0,21,1,4,2,3,2,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
28,0,120,4,129,43,2,4221,8863,1,0,15,0,5,3,5,4,0,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
58,0,682,10,131,37,4,13872,24409,0,0,13,0,38,1,37,10,1,8,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
44,0,489,23,132,67,2,2042,25043,4,0,12,1,17,3,3,2,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1
37,1,807,6,133,63,1,2073,23648,4,1,22,0,7,3,3,2,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0
